name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Quezon City, National Capital Region, Philippines",2011-01-22,31.0,23.5,26.8,35.4,23.5,28.9,23.4,82.2,4.784,100.0,8.33,rain,,,28.8,14.2,126.6,1010.6,78.5,9.0,127.3,11.0,5.0,,2011-01-22T06:25:12,2011-01-22T17:49:22,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
"Quezon City, National Capital Region, Philippines",2011-01-23,30.0,24.3,27.1,34.5,24.3,29.0,23.1,79.2,0.068,100.0,25.0,rain,,,,10.8,95.4,1011.7,79.5,9.5,167.4,14.5,6.0,,2011-01-23T06:25:12,2011-01-23T17:49:54,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
"Quezon City, National Capital Region, Philippines",2011-01-24,29.9,24.0,25.8,33.1,24.0,26.3,22.8,84.3,11.638,100.0,20.83,rain,,,28.8,70.4,53.3,1012.4,77.6,9.3,152.8,13.3,5.0,,2011-01-24T06:25:11,2011-01-24T17:50:26,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
"Quezon City, National Capital Region, Philippines",2011-01-25,29.9,22.9,26.0,31.8,22.9,26.8,20.7,73.6,6.865,100.0,8.33,rain,,,32.4,28.1,78.2,1013.7,61.7,9.6,190.7,16.5,8.0,,2011-01-25T06:25:09,2011-01-25T17:50:57,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
"Quezon City, National Capital Region, Philippines",2011-01-26,29.9,22.6,26.3,31.8,22.6,27.0,20.1,69.7,0.01,100.0,8.33,rain,,,32.4,28.2,84.9,1014.9,66.4,9.6,229.2,19.8,9.0,,2011-01-26T06:25:06,2011-01-26T17:51:28,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
"Quezon City, National Capital Region, Philippines",2011-01-27,29.9,22.1,25.7,30.7,22.1,26.1,19.0,67.9,0.0,0.0,0.0,,,,39.6,31.3,76.4,1015.2,41.0,9.6,240.2,21.0,8.0,,2011-01-27T06:25:02,2011-01-27T17:51:59,0.76,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
"Quezon City, National Capital Region, Philippines",2011-01-28,29.9,21.0,25.7,31.2,21.0,26.2,19.3,69.1,0.0,0.0,0.0,,,,33.5,21.3,76.7,1013.7,52.9,10.0,197.6,17.0,8.0,,2011-01-28T06:24:56,2011-01-28T17:52:29,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
"Quezon City, National Capital Region, Philippines",2011-01-29,30.0,22.5,25.7,30.4,22.5,26.0,19.1,68.1,0.001,100.0,4.17,rain,,,33.5,21.1,65.0,1013.1,71.3,9.1,241.2,20.7,9.0,,2011-01-29T06:24:50,2011-01-29T17:52:59,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
"Quezon City, National Capital Region, Philippines",2011-01-30,30.6,20.8,25.8,31.4,20.8,25.9,17.9,63.7,0.0,0.0,0.0,,,,29.5,38.0,85.3,1013.4,62.9,9.7,229.9,19.8,8.0,,2011-01-30T06:24:42,2011-01-30T17:53:28,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
"Quezon City, National Capital Region, Philippines",2011-01-31,28.9,22.6,24.9,30.1,22.6,25.1,19.5,72.6,0.057,100.0,20.83,rain,,,33.5,25.1,77.5,1013.1,79.2,9.4,244.5,21.2,8.0,,2011-01-31T06:24:33,2011-01-31T17:53:56,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
"Quezon City, National Capital Region, Philippines",2011-02-01,28.8,21.7,24.9,31.2,21.7,25.3,18.2,66.9,0.005,100.0,4.17,rain,,,33.5,23.9,70.9,1012.9,57.7,9.7,231.8,20.0,8.0,,2011-02-01T06:24:23,2011-02-01T17:54:24,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
"Quezon City, National Capital Region, Philippines",2011-02-02,29.0,20.1,24.5,29.3,20.1,24.6,17.1,65.0,0.0,0.0,0.0,,,,48.2,21.6,77.1,1012.7,53.8,9.7,215.1,18.6,8.0,,2011-02-02T06:24:12,2011-02-02T17:54:52,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
"Quezon City, National Capital Region, Philippines",2011-02-03,28.9,20.4,24.9,30.1,20.4,25.3,18.1,66.4,0.0,0.0,0.0,,,,33.5,17.1,9.3,1011.5,81.0,9.8,213.4,18.4,8.0,,2011-02-03T06:23:59,2011-02-03T17:55:19,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
"Quezon City, National Capital Region, Philippines",2011-02-04,29.0,23.0,26.0,31.2,23.0,26.9,20.2,70.4,0.0,0.0,0.0,,,,33.5,19.8,2.2,1009.8,89.7,9.1,198.9,17.2,7.0,,2011-02-04T06:23:46,2011-02-04T17:55:45,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
"Quezon City, National Capital Region, Philippines",2011-02-05,29.5,23.9,26.3,32.4,23.9,27.1,20.8,72.2,0.0,0.0,0.0,,,,50.0,18.0,49.1,1009.7,89.8,8.9,114.5,9.8,4.0,,2011-02-05T06:23:32,2011-02-05T17:56:11,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
"Quezon City, National Capital Region, Philippines",2011-02-06,30.0,24.5,26.8,32.7,24.5,28.0,21.4,72.9,0.0,0.0,0.0,,,,27.7,14.4,92.9,1009.5,76.4,9.7,224.6,19.3,8.0,,2011-02-06T06:23:16,2011-02-06T17:56:36,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
"Quezon City, National Capital Region, Philippines",2011-02-07,30.0,24.0,26.9,33.2,24.0,28.3,22.2,76.1,0.01,100.0,4.17,rain,,,33.5,21.3,121.5,1008.2,66.4,9.8,159.4,13.8,6.0,,2011-02-07T06:23:00,2011-02-07T17:57:01,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
"Quezon City, National Capital Region, Philippines",2011-02-08,31.5,23.2,27.0,35.5,23.2,28.9,22.5,77.5,0.0,0.0,0.0,,,,33.5,21.4,259.7,1006.6,60.2,9.8,186.1,16.1,8.0,,2011-02-08T06:22:42,2011-02-08T17:57:25,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
"Quezon City, National Capital Region, Philippines",2011-02-09,30.9,24.3,27.7,36.5,24.3,30.5,23.5,78.5,0.034,100.0,8.33,rain,,,33.5,18.0,223.3,1006.8,63.4,9.5,242.1,20.9,8.0,,2011-02-09T06:22:23,2011-02-09T17:57:48,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
"Quezon City, National Capital Region, Philippines",2011-02-10,32.0,24.4,28.2,36.6,24.4,30.6,23.1,75.3,0.0,0.0,0.0,,,,29.5,21.7,235.4,1008.4,56.1,9.8,247.2,21.4,9.0,,2011-02-10T06:22:04,2011-02-10T17:58:11,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
"Quezon City, National Capital Region, Philippines",2011-02-11,32.2,24.0,28.1,36.6,24.0,30.6,23.0,74.8,0.02,100.0,4.17,rain,,,37.1,17.5,306.9,1009.1,47.0,9.3,243.9,21.0,9.0,,2011-02-11T06:21:43,2011-02-11T17:58:34,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
"Quezon City, National Capital Region, Philippines",2011-02-12,30.7,24.6,27.2,33.2,24.6,28.0,20.8,69.5,0.02,100.0,4.17,rain,,,,34.1,88.5,1010.3,62.6,9.7,151.5,13.1,5.0,,2011-02-12T06:21:21,2011-02-12T17:58:55,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
"Quezon City, National Capital Region, Philippines",2011-02-13,28.9,22.2,25.9,30.7,22.2,26.5,19.3,67.4,0.0,0.0,0.0,,,,43.2,28.8,115.2,1011.1,59.7,9.8,223.8,19.6,8.0,,2011-02-13T06:20:59,2011-02-13T17:59:16,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
"Quezon City, National Capital Region, Philippines",2011-02-14,30.9,21.6,26.5,34.4,21.6,27.7,20.7,71.6,0.0,0.0,0.0,,,,33.5,14.1,98.3,1011.3,54.9,9.6,201.3,17.3,7.0,,2011-02-14T06:20:35,2011-02-14T17:59:37,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
"Quezon City, National Capital Region, Philippines",2011-02-15,30.9,23.5,26.7,33.5,23.5,27.8,21.0,71.7,0.185,100.0,4.17,rain,,,50.0,21.5,102.4,1012.4,58.9,9.8,250.8,21.7,9.0,,2011-02-15T06:20:11,2011-02-15T17:59:57,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
"Quezon City, National Capital Region, Philippines",2011-02-16,30.9,22.1,26.3,33.6,22.1,27.4,20.8,72.4,0.01,100.0,4.17,rain,,,37.1,17.7,111.7,1012.9,47.9,9.7,239.6,20.6,8.0,,2011-02-16T06:19:45,2011-02-16T18:00:17,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
"Quezon City, National Capital Region, Philippines",2011-02-17,31.0,22.0,27.1,34.7,22.0,28.6,21.0,70.1,0.0,0.0,0.0,,,,29.5,17.8,112.7,1012.2,54.4,9.8,260.5,22.4,9.0,,2011-02-17T06:19:19,2011-02-17T18:00:36,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
"Quezon City, National Capital Region, Philippines",2011-02-18,31.3,23.8,27.3,34.6,23.8,28.9,21.1,69.2,0.0,0.0,0.0,,,,144.4,14.6,149.4,1011.2,60.9,9.4,260.6,22.5,9.0,,2011-02-18T06:18:52,2011-02-18T18:00:54,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
"Quezon City, National Capital Region, Philippines",2011-02-19,32.3,22.1,27.5,36.0,22.1,28.6,20.2,65.9,0.0,0.0,0.0,,,,25.9,17.1,123.1,1011.4,41.8,9.7,286.3,24.7,10.0,,2011-02-19T06:18:24,2011-02-19T18:01:12,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
"Quezon City, National Capital Region, Philippines",2011-02-20,32.0,21.2,27.1,33.9,21.2,27.9,18.5,60.5,0.0,0.0,0.0,,,,33.5,14.3,83.0,1012.3,34.4,9.9,283.8,24.5,10.0,,2011-02-20T06:17:55,2011-02-20T18:01:29,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
"Quezon City, National Capital Region, Philippines",2011-02-21,31.9,21.1,26.5,34.0,21.1,27.3,19.7,67.1,0.0,0.0,0.0,,,,29.5,18.0,118.5,1012.1,32.8,9.7,275.6,23.7,10.0,,2011-02-21T06:17:26,2011-02-21T18:01:46,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
"Quezon City, National Capital Region, Philippines",2011-02-22,30.9,21.9,26.6,38.8,21.9,27.6,20.3,70.1,0.0,0.0,0.0,,,,29.5,17.5,102.2,1012.1,49.3,9.8,267.5,23.0,9.0,,2011-02-22T06:16:55,2011-02-22T18:02:02,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
"Quezon City, National Capital Region, Philippines",2011-02-23,30.0,21.8,25.7,31.2,21.8,26.1,18.9,67.3,0.0,0.0,0.0,,,,33.5,17.7,103.6,1012.0,62.8,9.2,227.9,19.8,9.0,,2011-02-23T06:16:24,2011-02-23T18:02:18,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
"Quezon City, National Capital Region, Philippines",2011-02-24,30.2,20.3,25.3,31.7,20.3,25.7,17.9,64.8,0.0,0.0,0.0,,,,29.5,17.9,84.0,1011.7,53.8,9.7,240.8,20.8,8.0,,2011-02-24T06:15:52,2011-02-24T18:02:33,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
"Quezon City, National Capital Region, Philippines",2011-02-25,30.9,19.7,25.4,31.3,19.7,25.7,17.9,64.9,0.0,0.0,0.0,,,,,18.2,85.0,1011.2,40.2,9.7,243.2,21.1,9.0,,2011-02-25T06:15:20,2011-02-25T18:02:47,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
"Quezon City, National Capital Region, Philippines",2011-02-26,30.9,22.1,26.4,31.8,22.1,26.6,17.6,60.3,0.0,0.0,0.0,,,,33.5,20.8,86.8,1011.0,51.4,9.6,274.2,23.6,9.0,,2011-02-26T06:14:46,2011-02-26T18:03:02,0.77,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
"Quezon City, National Capital Region, Philippines",2011-02-27,29.9,20.9,26.1,32.2,20.9,26.9,19.4,67.6,0.0,0.0,0.0,,,,33.5,14.6,81.0,1011.0,60.8,9.7,279.3,24.0,10.0,,2011-02-27T06:14:12,2011-02-27T18:03:15,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
"Quezon City, National Capital Region, Philippines",2011-02-28,31.8,23.6,27.3,34.7,23.6,28.7,21.1,69.6,0.014,100.0,4.17,rain,,,37.1,17.7,86.0,1009.6,68.8,9.7,257.2,22.3,10.0,,2011-02-28T06:13:38,2011-02-28T18:03:29,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
"Quezon City, National Capital Region, Philippines",2011-03-01,31.9,23.1,27.7,38.4,23.1,29.7,21.9,72.1,4.95,100.0,12.5,rain,,,37.1,17.8,101.0,1008.5,64.4,9.7,109.0,9.5,4.0,,2011-03-01T06:13:02,2011-03-01T18:03:42,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
"Quezon City, National Capital Region, Philippines",2011-03-02,29.0,23.4,25.7,32.8,23.4,26.9,22.9,84.9,18.373,100.0,29.17,rain,,,33.5,14.8,94.5,1009.4,93.1,9.0,97.6,8.3,3.0,,2011-03-02T06:12:26,2011-03-02T18:03:54,0.91,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
"Quezon City, National Capital Region, Philippines",2011-03-03,30.9,22.5,26.4,33.1,22.5,27.4,20.9,72.9,0.927,100.0,4.17,rain,,,38.9,26.4,113.5,1010.4,75.9,9.6,118.7,10.3,4.0,,2011-03-03T06:11:50,2011-03-03T18:04:06,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
"Quezon City, National Capital Region, Philippines",2011-03-04,31.0,21.1,26.4,34.4,21.1,27.6,21.1,73.4,0.002,100.0,4.17,rain,,,35.3,28.2,113.6,1010.1,77.5,9.7,178.1,15.5,7.0,,2011-03-04T06:11:13,2011-03-04T18:04:17,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
